Number,Name,Latitude,Longitude,District,Public,Total docks,trip start count,trip end count
B32033,Huntington Ave at Mass Art,42.33658555456115,-71.0988699646623,Boston,Yes,15,264,270
M32044,Huron Ave At Vassal Lane,42.381650612901176,-71.13426981498378,Cambridge,Yes,19,193,194
E32003,Hyde Square - Barbara St at Centre St,42.32176525723952,-71.10984160567114,Boston,Yes,15,257,201
C32020,ID Building East,42.344827,-71.028664,Boston,Yes,17,233,202
C32021,ID Building West,42.344796,-71.031614,Boston,Yes,19,370,339
C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Boston,Yes,15,263,287
M32062,Inman Square at Springfield St.,42.37438408515815,-71.1001574621514,Cambridge,Yes,19,833,725
A32011,Innovation Lab - 125 Western Ave at Batten Way,42.363732,-71.124565,Boston,Yes,15,246,267
E32006,Jackson Square T Stop,42.32293117195949,-71.10014140605927,Boston,Yes,18,239,249
K32004,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,Brookline,Yes,15,35,28
C32013,JFK/UMass T Stop,42.320339735157226,-71.05118036270143,Boston,Yes,15,122,127
M32032,Kendall Street,42.36356015842989,-71.08216792345047,Cambridge,Yes,15,472,517
M32004,Kendall T,42.362427842912396,-71.08495473861693,Cambridge,Yes,23,1917,1647
B32010,Kenmore Square,42.348706,-71.097009,Boston,Yes,27,818,883
M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171065,Cambridge,Yes,15,621,608
M32001,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000001,Cambridge,Yes,19,984,997
M32039,Lesley University,42.38674802045056,-71.11901879310608,Cambridge,Yes,15,328,352
D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Boston,Yes,19,957,1008
M32025,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828000000004,-71.130516,Cambridge,Yes,19,471,461
A32004,Longwood Ave at Binney St,42.338629,-71.1065,Boston,Yes,15,695,857
M32022,Lower Cambridgeport at Magazine St / Riverside Rd,42.35721850317653,-71.1138716340065,Cambridge,Yes,19,930,943
S32013,Magoun Square at Trum Field,42.398365000000005,-71.10781800000001,Somerville,Yes,15,191,161
D32020,Main St at Austin St,42.375603000000005,-71.06460799999999,Boston,Yes,11,278,271
D32036,Main St at Baldwin St,42.380857,-71.070629,Boston,Yes,19,151,151
